Topo 02 - Polygon Calculation																																																						
HITUNGAN   POLIGON																																																						
																																																						
Proyek	:															Referensi	Titik	X	Y	Z			DX	0.000																														
Jalur	:															awal	K20	10000.000   	10000.000   	29.966			DY	0.000																														
Dihitung Oleh 	:															BS	K19	10050.000   	10050.000   	(Nilai Z Back Sight...)			DZ	-11.724																														
Tanggal	:																azimuth	" 45° 0' 0"""					Koreksi sudut  :	Y																														
																akhir	K30	9644.001   	9646.908   	(Nilai Z Berdiri Akhir...)			Koreksi jarak  :	Y																														
																	K55	9536.413   	9539.568   	21			Koreksi Elevasi	Y																														
																	azimuth	" 225° 3' 58"""																																				
																																																						
No	Tinggi alat	Tinggi target	Titik Poligon		Sudut Horisontal	Sudut Vertikal	Koreksi sudut	Azimuth		Jarak Miring	Jarak Datar	DX	Koreksi X	DY	Koreksi Y	DZ	Koreksi Z	Koordinat   (m)			Patok	Keterangan			Keterangan Tambahan																													
									+ koreksi									Absis  (X)	Ordinat  (Y)	Z		Poligon	WP	BM/CP			No	Point Name	Instrument Height (m)	Instrument Centering Error (m)	Instrument Height Error (m)	Reflector Height Error (m)	Reflector Centering Error (m)	#	Point From	Point To	Reflector Height (m)	Horizontal Circle	Slope Distance (m)	Zenith Angle	Code	Type												
		2.5		39	"165°50'53"""	"94°53'07"""	0''	" 210° 50' 55"""	" 210° 50' 55"""	52.432  	52.301  	-26.82  	0.00  	-44.90  	0.00  	-5.03  	0.00  	9973.182   	9955.098   	24.936   	39				D									74	1	39	2.5	"165°50'53"""	52.432	"94°53'07"""	D	SS												
		2.5		40	"165°18'41"""	"94°05'54"""	0''	" 210° 58' 53"""	" 210° 58' 53"""	52.692  	52.558  	-27.05  	0.00  	-45.06  	0.00  	-5.08  	0.00  	9972.945   	9954.940   	24.888   	40				T									76	1	40	2.5	"165°18'41"""	52.692	"94°05'54"""	T	SS												
		2.5		41	"161°08'20"""	"94°35'49"""	0''	" 206° 58' 52"""	" 206° 58' 52"""	53.745  	53.608  	-24.32  	0.00  	-47.77  	0.00  	-5.15  	0.00  	9975.678   	9952.227   	24.812   	41				C									78	1	41	2.5	"161°08'20"""	53.745	"94°35'49"""	C	SS												
		2.5		42	"160°26'14"""	"95°00'17"""	0''	" 205° 56' 56"""	" 205° 56' 56"""	54.168  	53.962  	-23.61  	0.00  	-48.52  	0.00  	-6.05  	0.00  	9976.388   	9951.478   	23.918   	42				T1L									80	1	42	2.5	"160°26'14"""	54.168	"95°00'17"""	T1L	SS												
		1.45		43	"129°44'49"""	"93°47'35"""	0''	" 174° 55' 1"""	" 174° 55' 1"""	78.878  	78.761  	6.98  	0.00  	-78.45  	0.00  	-4.57  	0.00  	10006.978   	9921.549   	25.401   	43				T									82	1	43	1.45	"129°44'49"""	78.878	"93°47'35"""	T	SS												
		1.45		44	"129°50'15"""	"94°02'40"""	0''	" 174° 50' 57"""	" 174° 50' 57"""	78.702  	78.507  	7.05  	0.00  	-78.19  	0.00  	-5.81  	0.00  	10007.048   	9921.810   	24.155   	44				D									84	1	44	1.45	"129°50'15"""	78.702	"94°02'40"""	D	SS												
		1.45		45	"130°01'52"""	"94°02'40"""	0''	" 175° 51' 54"""	" 175° 51' 54"""	78.431  	78.237  	5.64  	0.00  	-78.03  	0.00  	-5.79  	0.00  	10005.641   	9921.967   	24.174   	45				D									86	1	45	1.45	"130°01'52"""	78.431	"94°02'40"""	D	SS												
		1.45		46	"130°05'29"""	"93°54'42"""	0''	" 175° 56' 1"""	" 175° 56' 1"""	78.294  	78.182  	5.54  	0.00  	-77.99  	0.00  	-4.46  	0.00  	10005.544   	9922.015   	25.502   	46				T									88	1	46	1.45	"130°05'29"""	78.294	"93°54'42"""	T	SS												
		1.45		47	"130°07'27"""	"93°30'04"""	0''	" 175° 57' 59"""	" 175° 57' 59"""	78.215  	78.108  	5.49  	0.00  	-77.91  	0.00  	-4.37  	0.00  	10005.494   	9922.086   	25.596   	47				T									90	1	47	1.45	"130°07'27"""	78.215	"93°30'04"""	T	SS												
		1.45		48	"130°13'30"""	"93°30'04"""	0''	" 175° 53' 52"""	" 175° 53' 52"""	78.125  	78.018  	5.58  	0.00  	-77.82  	0.00  	-4.37  	0.00  	10005.581   	9922.182   	25.601   	48				T									92	1	48	1.45	"130°13'30"""	78.125	"93°30'04"""	T	SS												
