Topo 02 - Polygon Calculation																																																						
HITUNGAN   POLIGON																																																						
																																																						
Proyek	:															Referensi	Titik	X	Y	Z			DX	0.000																														
Jalur	:															awal	K20	10000.000   	10000.000   	29.966			DY	0.000																														
Dihitung Oleh 	:															BS	K19	10050.000   	10050.000   	(Nilai Z Back Sight...)			DZ	-11.724																														
Tanggal	:																azimuth	" 45° 0' 0"""					Koreksi sudut  :	Y																														
																akhir	K30	9644.001   	9646.908   	(Nilai Z Berdiri Akhir...)			Koreksi jarak  :	Y																														
																	K55	9536.413   	9539.568   	21			Koreksi Elevasi	Y																														
																	azimuth	" 225° 3' 58"""																																				
																																																						
No	Tinggi alat	Tinggi target	Titik Poligon		Sudut Horisontal	Sudut Vertikal	Koreksi sudut	Azimuth		Jarak Miring	Jarak Datar	DX	Koreksi X	DY	Koreksi Y	DZ	Koreksi Z	Koordinat   (m)			Patok	Keterangan			Keterangan Tambahan																													
									+ koreksi									Absis  (X)	Ordinat  (Y)	Z		Poligon	WP	BM/CP			No	Point Name	Instrument Height (m)	Instrument Centering Error (m)	Instrument Height Error (m)	Reflector Height Error (m)	Reflector Centering Error (m)	#	Point From	Point To	Reflector Height (m)	Horizontal Circle	Slope Distance (m)	Zenith Angle	Code	Type												
		1.45		255	"91°10'21"""	"93°49'40"""	0''	" 136° 50' 47"""	" 136° 50' 47"""	53.929  	53.848  	36.83  	0.00  	-39.28  	0.00  	-3.21  	0.00  	9718.556   	9644.061   	18.683   	255				T									20	245	255	1.45	"91°10'21"""	53.929	"93°49'40"""	T	SS												
		1.45		256	"91°11'23"""	"93°51'29"""	0''	" 136° 51' 49"""	" 136° 51' 49"""	54.414  	54.338  	37.15  	0.00  	-39.65  	0.00  	-3.11  	0.00  	9718.880   	9643.691   	18.781   	256				Ji									22	245	256	1.45	"91°11'23"""	54.414	"93°51'29"""	Ji	SS												
		1.45		257	"91°11'53"""	"93°39'50"""	0''	" 136° 51' 49"""	" 136° 51' 49"""	58.372  	58.284  	39.85  	0.00  	-42.53  	0.00  	-3.45  	0.00  	9721.578   	9640.812   	18.439   	257				Ji									24	245	257	1.45	"91°11'53"""	58.372	"93°39'50"""	Ji	SS												
		1.45		258	"91°11'52"""	"93°27'46"""	0''	" 136° 51' 48"""	" 136° 51' 48"""	58.442  	58.355  	39.90  	0.00  	-42.58  	0.00  	-3.42  	0.00  	9721.627   	9640.760   	18.468   	258				T									26	245	258	1.45	"91°11'52"""	58.442	"93°27'46"""	T	SS												
		1.45		259	"91°11'52"""	"93°27'44"""	0''	" 136° 51' 48"""	" 136° 51' 48"""	58.652  	58.565  	40.04  	0.00  	-42.74  	0.00  	-3.44  	0.00  	9721.771   	9640.607   	18.457   	259				T									28	245	259	1.45	"91°11'52"""	58.652	"93°27'44"""	T	SS												
		1.45		260	"91°11'49"""	"94°02'57"""	0''	" 136° 51' 55"""	" 136° 51' 55"""	58.815  	58.669  	40.11  	0.00  	-42.81  	0.00  	-4.38  	0.00  	9721.840   	9640.530   	17.508   	260				T									30	245	260	1.45	"91°11'49"""	58.815	"94°02'57"""	T	SS												
		1.45		261	"91°12'15"""	"94°15'14"""	0''	" 136° 52' 51"""	" 136° 52' 51"""	58.851  	58.702  	40.12  	0.00  	-42.85  	0.00  	-4.44  	0.00  	9721.851   	9640.496   	17.455   	261				D									32	245	261	1.45	"91°12'15"""	58.851	"94°15'14"""	D	SS												
		1.45		262	"91°12'18"""	"94°12'24"""	0''	" 136° 52' 54"""	" 136° 52' 54"""	59.156  	59.009  	40.33  	0.00  	-43.07  	0.00  	-4.41  	0.00  	9722.060   	9640.270   	17.485   	262				D									34	245	262	1.45	"91°12'18"""	59.156	"94°12'24"""	D	SS												
		1.45		263	"91°12'19"""	"93°55'00"""	0''	" 136° 52' 55"""	" 136° 52' 55"""	59.341  	59.255  	40.50  	0.00  	-43.25  	0.00  	-3.44  	0.00  	9722.228   	9640.091   	18.455   	263				T									36	245	263	1.45	"91°12'19"""	59.341	"93°55'00"""	T	SS												
		1.45		264	"91°12'17"""	"90°44'04"""	0''	" 136° 52' 53"""	" 136° 52' 53"""	64.595  	64.595  	44.15  	0.00  	-47.15  	0.00  	-0.32  	0.00  	9725.878   	9636.193   	21.570   	264				C									38	245	264	1.45	"91°12'17"""	64.595	"90°44'04"""	C	SS												
		1.45		265	"91°12'20"""	"90°24'27"""	0''	" 136° 52' 46"""	" 136° 52' 46"""	71.004  	71.004  	48.53  	0.00  	-51.83  	0.00  	-0.33  	0.00  	9730.261   	9631.517   	21.562   	265				C									40	245	265	1.45	"91°12'20"""	71.004	"90°24'27"""	C	SS												
		1.45		266	"272°55'34"""	"88°22'27"""	0''	" 317° 55' 50"""	" 317° 55' 50"""	4.556  	4.553  	-3.05  	0.00  	3.38  	0.00  	-0.09  	0.00  	9678.676   	9686.724   	21.803   	266				C									42	245	266	1.45	"272°55'34"""	4.556	"88°22'27"""	C	SS												
		1.45		267	"273°05'48"""	"91°13'06"""	0''	" 318° 55' 54"""	" 318° 55' 54"""	4.928  	4.927  	-3.24  	0.00  	3.71  	0.00  	-0.34  	0.00  	9678.490   	9687.059   	21.556   	267				S									44	245	267	1.45	"273°05'48"""	4.928	"91°13'06"""	S	SS												
		1.45		268	"273°05'48"""	"90°59'56"""	0''	" 318° 55' 54"""	" 318° 55' 54"""	11.144  	11.144  	-7.32  	0.00  	8.40  	0.00  	-0.27  	0.00  	9674.406   	9691.746   	21.617   	268				S									46	245	268	1.45	"273°05'48"""	11.144	"90°59'56"""	S	SS												
		1.45		269	"91°28'23"""	"91°11'21"""	0''	" 136° 58' 49"""	" 136° 58' 49"""	0.284  	0.284  	0.19  	0.00  	-0.21  	0.00  	-0.25  	0.00  	9681.921   	9683.136   	21.642   	269				C									48	245	269	1.45	"91°28'23"""	0.284	"91°11'21"""	C	SS												
		1.45		270	"91°28'10"""	"110°46'33"""	0''	" 136° 58' 46"""	" 136° 58' 46"""	2.462  	2.312  	1.58  	0.00  	-1.69  	0.00  	-1.09  	0.00  	9683.305   	9681.653   	20.801   	270				C									50	245	270	1.45	"91°28'10"""	2.462	"110°46'33"""	C	SS												
		1.45		271	"91°28'20"""	"99°04'14"""	0''	" 136° 58' 46"""	" 136° 58' 46"""	6.186  	6.109  	4.17  	0.00  	-4.47  	0.00  	-1.22  	0.00  	9685.895   	9678.878   	20.672   	271				C									52	245	271	1.45	"91°28'20"""	6.186	"99°04'14"""	C	SS												
		2.5		272	"92°12'00"""	"104°58'00"""	0''	" 137° 52' 46"""	" 137° 52' 46"""	11.075  	10.740  	7.20  	0.00  	-7.97  	0.00  	-4.00  	0.00  	9688.930   	9675.378   	17.893   	272				T									54	245	272	2.5	"92°12'00"""	11.075	"104°58'00"""	T	SS												
		2.5		273	"92°12'04"""	"106°26'46"""	0''	" 137° 52' 50"""	" 137° 52' 50"""	11.711  	11.252  	7.55  	0.00  	-8.35  	0.00  	-4.54  	0.00  	9689.273   	9674.998   	17.349   	273				D									56	245	273	2.5	"92°12'04"""	11.711	"106°26'46"""	D	SS												
		2.5		274	"92°11'45"""	"105°55'46"""	0''	" 137° 51' 51"""	" 137° 51' 51"""	11.897  	11.487  	7.71  	0.00  	-8.52  	0.00  	-4.39  	0.00  	9689.434   	9674.826   	17.501   	274				D									58	245	274	2.5	"92°11'45"""	11.897	"105°55'46"""	D	SS												
		2.5		275	"92°11'42"""	"103°47'35"""	0''	" 137° 51' 48"""	" 137° 51' 48"""	11.991  	11.678  	7.83  	0.00  	-8.66  	0.00  	-4.02  	0.00  	9689.562   	9674.684   	17.875   	275				T									60	245	275	2.5	"92°11'42"""	11.991	"103°47'35"""	T	SS												
		2.5		276	"92°11'46"""	"100°23'38"""	0''	" 137° 51' 52"""	" 137° 51' 52"""	15.946  	15.701  	10.53  	0.00  	-11.64  	0.00  	-4.08  	0.00  	9692.261   	9671.700   	17.813   	276				C									62	245	276	2.5	"92°11'46"""	15.946	"100°23'38"""	C	SS												
		2.5		277	"92°11'46"""	"101°36'12"""	0''	" 137° 51' 52"""	" 137° 51' 52"""	17.060  	16.741  	11.23  	0.00  	-12.41  	0.00  	-4.58  	0.00  	9692.958   	9670.929   	17.312   	277				T1L									64	245	277	2.5	"92°11'46"""	17.06	"101°36'12"""	T1L	SS												
		2.5		278	"92°11'35"""	"107°29'20"""	0''	" 137° 51' 51"""	" 137° 51' 51"""	23.060  	22.035  	14.78  	0.00  	-16.34  	0.00  	-8.09  	0.00  	9696.510   	9667.004   	13.797   	278				D1L									66	245	278	2.5	"92°11'35"""	23.06	"107°29'20"""	D1L	SS												
		2.5		279	"91°57'09"""	"101°22'54"""	0''	" 136° 57' 55"""	" 136° 57' 55"""	35.137  	34.487  	23.54  	0.00  	-25.21  	0.00  	-8.02  	0.00  	9705.263   	9658.136   	13.872   	279				D1L									68	245	279	2.5	"91°57'09"""	35.137	"101°22'54"""	D1L	SS												
		2.5		280	"91°58'51"""	"98°35'14"""	0''	" 136° 58' 47"""	" 136° 58' 47"""	46.329  	45.869  	31.29  	0.00  	-33.54  	0.00  	-7.81  	0.00  	9713.021   	9649.809   	14.081   	280				D1L									70	245	280	2.5	"91°58'51"""	46.329	"98°35'14"""	D1L	SS												
		2.5		281	"44°32'50"""	"96°01'24"""	0''	" 89° 52' 46"""	" 89° 52' 46"""	65.808  	65.445  	65.45  	0.00  	0.14  	0.00  	-8.19  	0.00  	9747.172   	9683.482   	13.698   	281				D1L									72	245	281	2.5	"44°32'50"""	65.808	"96°01'24"""	D1L	SS												
		2.5		282	"36°33'26"""	"96°49'16"""	0''	" 81° 53' 52"""	" 81° 53' 52"""	58.338  	58.002  	57.42  	0.00  	8.17  	0.00  	-7.55  	0.00  	9739.150   	9691.519   	14.345   	282				D1L									74	245	282	2.5	"36°33'26"""	58.338	"96°49'16"""	D1L	SS												
		2.5		283	"25°42'38"""	"97°37'13"""	0''	" 70° 52' 54"""	" 70° 52' 54"""	52.147  	51.745  	48.89  	0.00  	16.95  	0.00  	-7.76  	0.00  	9730.618   	9700.291   	14.136   	283				D1L									76	245	283	2.5	"25°42'38"""	52.147	"97°37'13"""	D1L	SS												
		2.5		284	"25°45'36"""	"97°38'37"""	0''	" 70° 55' 52"""	" 70° 55' 52"""	52.079  	51.676  	48.84  	0.00  	16.88  	0.00  	-7.76  	0.00  	9730.567   	9700.226   	14.128   	284				D1L									78	245	284	2.5	"25°45'36"""	52.079	"97°38'37"""	D1L	SS												
		1.45		285	"56°40'15"""	"90°13'57"""	0''	" 101° 50' 51"""	" 101° 50' 51"""	83.998  	83.998  	82.21  	0.00  	-17.25  	0.00  	-0.32  	0.00  	9763.936   	9666.098   	21.571   	285				C									80	245	285	1.45	"56°40'15"""	83.998	"90°13'57"""	C	SS												
		1.45		286	"54°15'11"""	"90°46'09"""	0''	" 99° 55' 47"""	" 99° 55' 47"""	79.121  	79.121  	77.94  	0.00  	-13.64  	0.00  	-0.39  	0.00  	9759.663   	9669.700   	21.505   	286				C									82	245	286	1.45	"54°15'11"""	79.121	"90°46'09"""	C	SS												
		1.45		287	"52°29'55"""	"93°03'05"""	0''	" 97° 59' 51"""	" 97° 59' 51"""	74.968  	74.862  	74.13  	0.00  	-10.42  	0.00  	-4.24  	0.00  	9755.861   	9672.928   	17.656   	287				T									84	245	287	1.45	"52°29'55"""	74.968	"93°03'05"""	T	SS												
		1.45		288	"52°23'09"""	"93°19'31"""	0''	" 97° 53' 55"""	" 97° 53' 55"""	74.799  	74.686  	73.98  	0.00  	-10.26  	0.00  	-4.36  	0.00  	9755.705   	9673.080   	17.536   	288				D									86	245	288	1.45	"52°23'09"""	74.799	"93°19'31"""	D	SS												
		1.45		289	"52°14'02"""	"93°22'53"""	0''	" 97° 54' 48"""	" 97° 54' 48"""	74.476  	74.372  	73.66  	0.00  	-10.24  	0.00  	-4.19  	0.00  	9755.390   	9673.105   	17.705   	289				D									88	245	289	1.45	"52°14'02"""	74.476	"93°22'53"""	D	SS												
		1.45		290	"52°09'56"""	"93°10'51"""	0''	" 97° 59' 52"""	" 97° 59' 52"""	74.373  	74.271  	73.55  	0.00  	-10.33  	0.00  	-4.14  	0.00  	9755.276   	9673.010   	17.754   	290				T									90	245	290	1.45	"52°09'56"""	74.373	"93°10'51"""	T	SS												
		1.45		291	"52°09'56"""	"92°43'02"""	0''	" 97° 59' 52"""	" 97° 59' 52"""	74.338  	74.290  	73.57  	0.00  	-10.34  	0.00  	-2.90  	0.00  	9755.295   	9673.007   	18.987   	291				T									92	245	291	1.45	"52°09'56"""	74.338	"92°43'02"""	T	SS												
		1.45		292	"52°00'53"""	"92°43'02"""	0''	" 97° 50' 49"""	" 97° 50' 49"""	74.118  	74.071  	73.38  	0.00  	-10.11  	0.00  	-2.90  	0.00  	9755.104   	9673.231   	18.995   	292				T									94	245	292	1.45	"52°00'53"""	74.118	"92°43'02"""	T	SS												
		1.45		293	"51°59'48"""	"92°55'17"""	0''	" 96° 59' 54"""	" 96° 59' 54"""	74.089  	74.040  	73.49  	0.00  	-9.02  	0.00  	-2.94  	0.00  	9755.215   	9674.323   	18.951   	293				Ji									96	245	293	1.45	"51°59'48"""	74.089	"92°55'17"""	Ji	SS												
		1.45		294	"49°57'57"""	"92°59'29"""	0''	" 94° 57' 53"""	" 94° 57' 53"""	70.879  	70.829  	70.56  	0.00  	-6.13  	0.00  	-2.91  	0.00  	9752.290   	9677.214   	18.985   	294				Ji									98	245	294	1.45	"49°57'57"""	70.879	"92°59'29"""	Ji	SS												
		1.45		295	"49°45'52"""	"93°01'22"""	0''	" 94° 55' 48"""	" 94° 55' 48"""	70.562  	70.464  	70.20  	0.00  	-6.06  	0.00  	-3.96  	0.00  	9751.931   	9677.288   	17.933   	295				C									100	245	295	1.45	"49°45'52"""	70.562	"93°01'22"""	C	SS												
		1.45		296	"49°07'26"""	"93°05'18"""	0''	" 94° 57' 52"""	" 94° 57' 52"""	69.725  	69.624  	69.36  	0.00  	-6.03  	0.00  	-4.00  	0.00  	9751.090   	9677.319   	17.894   	296				T									102	245	296	1.45	"49°07'26"""	69.725	"93°05'18"""	T	SS												
		1.45		297	"48°27'06"""	"93°42'23"""	0''	" 93° 57' 52"""	" 93° 57' 52"""	68.751  	68.655  	68.49  	0.00  	-4.75  	0.00  	-3.88  	0.00  	9750.217   	9678.597   	18.008   	297				T1L									104	245	297	1.45	"48°27'06"""	68.751	"93°42'23"""	T1L	SS												
		2.5		298	"19°45'21"""	"93°58'07"""	0''	" 64° 55' 47"""	" 64° 55' 47"""	49.301  	49.227  	44.59  	0.00  	20.86  	0.00  	-3.99  	0.00  	9726.317   	9704.203   	17.900   	298				T1L									106	245	298	2.5	"19°45'21"""	49.301	"93°58'07"""	T1L	SS												
		2.5		299	"19°13'57"""	"93°35'09"""	0''	" 64° 53' 53"""	" 64° 53' 53"""	49.087  	49.016  	44.39  	0.00  	20.79  	0.00  	-3.94  	0.00  	9726.114   	9704.138   	17.954   	299				T									108	245	299	2.5	"19°13'57"""	49.087	"93°35'09"""	T	SS												
		2.5		300	"14°15'44"""	"93°14'35"""	0''	" 59° 55' 50"""	" 59° 55' 50"""	48.156  	48.087  	41.62  	0.00  	24.09  	0.00  	-3.87  	0.00  	9723.342   	9707.438   	18.019   	300				T									110	245	300	2.5	"14°15'44"""	48.156	"93°14'35"""	T	SS												
		2.5		301	"13°56'58"""	"93°36'37"""	0''	" 58° 56' 54"""	" 58° 56' 54"""	48.342  	48.271  	41.35  	0.00  	24.90  	0.00  	-3.91  	0.00  	9723.081   	9708.243   	17.981   	301				D									112	245	301	2.5	"13°56'58"""	48.342	"93°36'37"""	D	SS												
		2.5		302	"13°26'40"""	"93°31'45"""	0''	" 58° 56' 46"""	" 58° 56' 46"""	48.283  	48.216  	41.31  	0.00  	24.87  	0.00  	-3.84  	0.00  	9723.033   	9708.216   	18.055   	302				D									114	245	302	2.5	"13°26'40"""	48.283	"93°31'45"""	D	SS												
		2.5		303	"13°08'17"""	"93°19'36"""	0''	" 58° 58' 53"""	" 58° 58' 53"""	48.211  	48.138  	41.25  	0.00  	24.81  	0.00  	-3.95  	0.00  	9722.981   	9708.150   	17.946   	303				T									116	245	303	2.5	"13°08'17"""	48.211	"93°19'36"""	T	SS												
		2.5		304	"7°53'30"""	"90°07'01"""	0''	" 52° 53' 46"""	" 52° 53' 46"""	49.466  	49.466  	39.45  	0.00  	29.84  	0.00  	-1.40  	0.00  	9721.178   	9713.185   	20.496   	304				C									118	245	304	2.5	"7°53'30"""	49.466	"90°07'01"""	C	SS												
		2.5		305	"2°51'50"""	"89°46'21"""	0''	" 47° 51' 46"""	" 47° 51' 46"""	49.027  	49.021  	36.35  	0.00  	32.89  	0.00  	-0.53  	0.00  	9718.078   	9716.232   	21.367   	305				C									120	245	305	2.5	"2°51'50"""	49.027	"89°46'21"""	C	SS												
		2.5		306	"0°31'40"""	"88°35'25"""	0''	" 45° 51' 46"""	" 45° 51' 46"""	49.239  	49.211  	35.32  	0.00  	34.27  	0.00  	0.35  	0.00  	9717.045   	9717.614   	22.242   	306				C									122	245	306	2.5	"0°31'40"""	49.239	"88°35'25"""	C	SS												
		2.5		307	"355°57'41"""	"88°25'17"""	0''	" 40° 57' 47"""	" 40° 57' 47"""	48.955  	48.928  	32.08  	0.00  	36.95  	0.00  	0.34  	0.00  	9713.803   	9720.291   	22.232   	307				C									124	245	307	2.5	"355°57'41"""	48.955	"88°25'17"""	C	SS												
		2.5		308	"355°17'30"""	"88°47'17"""	0''	" 40° 57' 46"""	" 40° 57' 46"""	48.818  	48.792  	31.99  	0.00  	36.84  	0.00  	0.31  	0.00  	9713.713   	9720.188   	22.200   	308				S									126	245	308	2.5	"355°17'30"""	48.818	"88°47'17"""	S	SS												
		2.5		309	"348°47'03"""	"88°49'28"""	0''	" 33° 57' 49"""	" 33° 57' 49"""	49.253  	49.227  	27.50  	0.00  	40.83  	0.00  	0.29  	0.00  	9709.229   	9724.173   	22.185   	309				S									128	245	309	2.5	"348°47'03"""	49.253	"88°49'28"""	S	SS												
		1.45		K30	"180°19'53"""	"89°38'17"""	0''	" 225° 59' 49"""	" 225° 59' 49"""	52.454  	52.448  	-37.73  	0.00  	-36.44  	0.00  	0.55  	-0.94  	9644.001   	9646.908   	21.497   	K30	P			K30									130	245	K30	1.45	"180°19'53"""	52.454	"89°38'17"""	K30	SS												
																																																						
5	1.25	1.45	K30	K29	"0°00'00"""	"89°52'04"""		" 45° 59' 49"""	" 45° 59' 49"""	99.779  	99.765  							9644.001   	9646.908   	21.497   	K30				K29		7	K30	1.25	0	0	0.002	0.001	1	K30	K29	1.45	"0°00'00"""	99.779	"89°52'04"""	K29	SS												
		1.45		313	"1°09'58"""	"90°02'18"""	0''	" 47° 8' 57"""	" 47° 8' 57"""	99.800  	99.800  	73.17  	0.00  	67.87  	0.00  	-0.26  	0.00  	9717.167   	9714.781   	21.235   	313				C									4	320	313	1.45	"1°09'58"""	99.8	"90°02'18"""	C	SS												
		1.45		314	"1°38'44"""	"90°21'37"""	0''	" 47° 7' 53"""	" 47° 7' 53"""	99.921  	99.921  	73.23  	0.00  	67.98  	0.00  	-0.23  	0.00  	9717.235   	9714.887   	21.265   	314				T1L									6	320	314	1.45	"1°38'44"""	99.921	"90°21'37"""	T1L	SS												
		1.45		315	"358°24'14"""	"90°04'13"""	0''	" 44° 3' 53"""	" 44° 3' 53"""	99.800  	99.800  	69.41  	0.00  	71.71  	0.00  	-0.32  	0.00  	9713.409   	9718.620   	21.180   	315				T									8	320	315	1.45	"358°24'14"""	99.8	"90°04'13"""	T	SS												
		1.45		316	"355°46'13"""	"88°29'41"""	0''	" 41° 5' 52"""	" 41° 5' 52"""	99.812  	99.760  	65.58  	0.00  	75.18  	0.00  	3.02  	0.00  	9709.578   	9722.086   	24.519   	316				C									10	320	316	1.45	"355°46'13"""	99.812	"88°29'41"""	C	SS												
		1.45		317	"354°30'32"""	"88°25'54"""	0''	" 39° 59' 51"""	" 39° 59' 51"""	99.627  	99.571  	64.00  	0.00  	76.28  	0.00  	3.13  	0.00  	9708.001   	9723.187   	24.628   	317				C									12	320	317	1.45	"354°30'32"""	99.627	"88°25'54"""	C	SS												
		2.5		318	"4°44'34"""	"91°37'27"""	0''	" 50° 3' 53"""	" 50° 3' 53"""	99.806  	99.787  	76.51  	0.00  	64.06  	0.00  	-3.20  	0.00  	9720.515   	9710.964   	18.299   	318				D1L									14	320	318	2.5	"4°44'34"""	99.806	"91°37'27"""	D1L	SS												
		2.5		319	"11°44'14"""	"91°40'36"""	0''	" 57° 3' 53"""	" 57° 3' 53"""	101.312  	101.297  	85.02  	0.00  	55.07  	0.00  	-3.02  	0.00  	9729.018   	9701.982   	18.476   	319				D1L									16	320	319	2.5	"11°44'14"""	101.312	"91°40'36"""	D1L	SS												
		2.5		350	"18°10'04"""	"91°38'38"""	0''	" 63° 59' 53"""	" 63° 59' 53"""	104.509  	104.488  	93.91  	0.00  	45.81  	0.00  	-3.32  	0.00  	9737.913   	9692.716   	18.176   	350				D1L									18	320	350	2.5	"18°10'04"""	104.509	"91°38'38"""	D1L	SS												
		1.45		351	"20°48'37"""	"90°19'23"""	0''	" 66° 7' 56"""	" 66° 7' 56"""	106.412  	106.412  	97.31  	0.00  	43.06  	0.00  	-0.48  	0.00  	9741.313   	9689.965   	21.017   	351				T1L									20	320	351	1.45	"20°48'37"""	106.412	"90°19'23"""	T1L	SS												
		1.45		352	"21°23'33"""	"89°53'37"""	0''	" 67° 2' 52"""	" 67° 2' 52"""	106.923  	106.908  	98.44  	0.00  	41.69  	0.00  	1.57  	0.00  	9742.446   	9688.599   	23.067   	352				T									22	320	352	1.45	"21°23'33"""	106.923	"89°53'37"""	T	SS												
		1.45		353	"21°47'02"""	"89°51'44"""	0''	" 67° 6' 51"""	" 67° 6' 51"""	107.233  	107.217  	98.78  	0.00  	41.70  	0.00  	1.64  	0.00  	9742.778   	9688.605   	23.136   	353				C									24	320	353	1.45	"21°47'02"""	107.233	"89°51'44"""	C	SS												
		1.45		354	"22°01'11"""	"89°54'15"""	0''	" 68° 0' 50"""	" 68° 0' 50"""	107.391  	107.377  	99.57  	0.00  	40.20  	0.00  	1.55  	0.00  	9743.569   	9687.108   	23.044   	354				Ji									26	320	354	1.45	"22°01'11"""	107.391	"89°54'15"""	Ji	SS												
		1.45		355	"24°06'29"""	"89°55'06"""	0''	" 70° 5' 58"""	" 70° 5' 58"""	109.104  	109.090  	102.58  	0.00  	37.13  	0.00  	1.54  	0.00  	9746.577   	9684.041   	23.040   	355				Ji									28	320	355	1.45	"24°06'29"""	109.104	"89°55'06"""	Ji	SS												
		1.45		356	"24°11'11"""	"89°46'29"""	0''	" 70° 0' 50"""	" 70° 0' 50"""	109.123  	109.110  	102.54  	0.00  	37.29  	0.00  	1.51  	0.00  	9746.540   	9684.201   	23.007   	356				T									30	320	356	1.45	"24°11'11"""	109.123	"89°46'29"""	T	SS												
		1.45		357	"24°15'57"""	"89°46'31"""	0''	" 70° 4' 56"""	" 70° 4' 56"""	109.205  	109.192  	102.66  	0.00  	37.20  	0.00  	1.51  	0.00  	9746.661   	9684.107   	23.012   	357				T									32	320	357	1.45	"24°15'57"""	109.205	"89°46'31"""	T	SS												
		1.45		358	"24°20'38"""	"90°05'48"""	0''	" 69° 59' 57"""	" 69° 59' 57"""	109.281  	109.281  	102.69  	0.00  	37.38  	0.00  	-0.36  	0.00  	9746.691   	9684.286   	21.134   	358				T									34	320	358	1.45	"24°20'38"""	109.281	"90°05'48"""	T	SS												
		1.45		359	"24°21'20"""	"90°12'13"""	0''	" 70° 0' 49"""	" 70° 0' 49"""	109.284  	109.284  	102.70  	0.00  	37.35  	0.00  	-0.27  	0.00  	9746.703   	9684.261   	21.232   	359				D									36	320	359	1.45	"24°21'20"""	109.284	"90°12'13"""	D	SS												
		1.45		360	"24°27'29"""	"90°13'04"""	0''	" 70° 6' 58"""	" 70° 6' 58"""	109.419  	109.419  	102.90  	0.00  	37.22  	0.00  	-0.30  	0.00  	9746.897   	9684.123   	21.200   	360				D									38	320	360	1.45	"24°27'29"""	109.419	"90°13'04"""	D	SS												
		1.45		361	"24°35'55"""	"89°59'07"""	0''	" 70° 4' 54"""	" 70° 4' 54"""	109.547  	109.535  	102.98  	0.00  	37.32  	0.00  	1.42  	0.00  	9746.984   	9684.225   	22.919   	361				T									40	320	361	1.45	"24°35'55"""	109.547	"89°59'07"""	T	SS												
		1.45		362	"26°47'02"""	"88°33'18"""	0''	" 72° 6' 51"""	" 72° 6' 51"""	111.219  	111.155  	105.78  	0.00  	34.14  	0.00  	3.58  	0.00  	9749.784   	9681.046   	25.078   	362				C									42	320	362	1.45	"26°47'02"""	111.219	"88°33'18"""	C	SS												
		1.45		363	"28°28'22"""	"87°33'47"""	0''	" 74° 7' 51"""	" 74° 7' 51"""	112.911  	112.762  	108.46  	0.00  	30.83  	0.00  	5.61  	0.00  	9752.465   	9677.742   	27.104   	363				C									44	320	363	1.45	"28°28'22"""	112.911	"87°33'47"""	C	SS												
		1.45		364	"30°40'32"""	"87°48'44"""	0''	" 75° 59' 51"""	" 75° 59' 51"""	115.039  	114.895  	111.48  	0.00  	27.80  	0.00  	5.55  	0.00  	9755.482   	9674.709   	27.048   	364				C									46	320	364	1.45	"30°40'32"""	115.039	"87°48'44"""	C	SS												
		2.5		365	"33°38'37"""	"92°54'27"""	0''	" 79° 7' 56"""	" 79° 7' 56"""	59.148  	59.109  	58.05  	0.00  	11.14  	0.00  	-3.39  	0.00  	9702.050   	9658.053   	18.112   	365				D1L									48	320	365	2.5	"33°38'37"""	59.148	"92°54'27"""	D1L	SS												
		2.5		366	"21°42'36"""	"93°15'46"""	0''	" 67° 1' 55"""	" 67° 1' 55"""	52.340  	52.264  	48.12  	0.00  	20.39  	0.00  	-4.07  	0.00  	9692.122   	9667.303   	17.431   	366				D1L									50	320	366	2.5	"21°42'36"""	52.34	"93°15'46"""	D1L	SS												
		2.5		367	"10°21'43"""	"93°28'13"""	0''	" 56° 0' 52"""	" 56° 0' 52"""	49.058  	48.985  	40.62  	0.00  	27.38  	0.00  	-3.93  	0.00  	9684.618   	9674.290   	17.565   	367				D1L									52	320	367	2.5	"10°21'43"""	49.058	"93°28'13"""	D1L	SS												
		1.45		368	"51°03'06"""	"87°10'23"""	0''	" 97° 2' 55"""	" 97° 2' 55"""	81.918  	81.806  	81.19  	0.00  	-10.04  	0.00  	4.09  	0.00  	9725.189   	9636.870   	25.583   	368				C									54	320	368	1.45	"51°03'06"""	81.918	"87°10'23"""	C	SS												
		1.45		369	"46°40'44"""	"86°44'16"""	0''	" 91° 59' 53"""	" 91° 59' 53"""	73.700  	73.527  	73.48  	0.00  	-2.56  	0.00  	4.85  	0.00  	9717.483   	9644.345   	26.351   	369				C									56	320	369	1.45	"46°40'44"""	73.7	"86°44'16"""	C	SS												
		1.45		370	"45°33'28"""	"87°38'42"""	0''	" 91° 2' 57"""	" 91° 2' 57"""	71.823  	71.733  	71.72  	0.00  	-1.31  	0.00  	3.39  	0.00  	9715.722   	9645.595   	24.889   	370				C									58	320	370	1.45	"45°33'28"""	71.823	"87°38'42"""	C	SS												
		1.45		371	"42°47'07"""	"89°56'14"""	0''	" 88° 6' 56"""	" 88° 6' 56"""	67.863  	67.855  	67.82  	0.00  	2.23  	0.00  	0.86  	0.00  	9711.819   	9649.140   	22.362   	371				T									60	320	371	1.45	"42°47'07"""	67.863	"89°56'14"""	T	SS												
		1.45		372	"42°33'46"""	"90°21'07"""	0''	" 88° 2' 55"""	" 88° 2' 55"""	67.491  	67.491  	67.45  	0.00  	2.30  	0.00  	-0.22  	0.00  	9711.453   	9649.207   	21.275   	372				D									62	320	372	1.45	"42°33'46"""	67.491	"90°21'07"""	D	SS												
